number,fname,lname,birthplace,first year,last year
1,George,Washington,Virginia,1789,1797
2,John,Adams,Massachusetts,1797,1801
3,Thomas,Jefferson,Virginia,1801,1809
4,James,Madison,Virginia,1809,1817
5,James,Monroe,Virginia,1817,1825
6,John Quincy,Adams,Massachusetts,1825,1829
7,Andrew,Jackson,South Carolina,1829,1837
8,Martin,Van Buren,New York,1837,1841
9,William Henry,Harrison,Virginia,1841,1841
10,John,Tyler,Virginia,1841,1845
11,James K.,Polk,North Carolina,1845,1849
12,Zachary,Taylor,Virginia,1849,1850
13,Millard,Fillmore,New York,1850,1853
14,Franklin,Pierce,New Hampshire,1853,1857
15,James,Buchanan,Pennsylvania,1857,1861
16,Abraham,Lincoln,Kentucky,1861,1865
17,Andrew,Johnson,North Carolina,1865,1869
18,Ulysses S.,Grant,Ohio,1869,1877
19,Rutherford B.,Hayes,Ohio,1877,1881
20,James A.,Garfield,Ohio,1881,1881
21,Chester A.,Arthur,Vermont,1881,1885
22,Grover,Cleveland,New Jersey,1885,1889
23,Benjamin,Harrison,Ohio,1889,1893
24,Grover,Cleveland,New Jersey,1893,1897
25,William,McKinley,Ohio,1897,1901
26,Theodore,Roosevelt,New York,1901,1909
27,William Howard,Taft,Ohio,1909,1913
28,Woodrow,Wilson,New Jersey,1913,1921
29,Warren G.,Harding,Ohio,1921,1923
30,Calvin,Coolidge,Vermont,1923,1929
31,Herbert,Hoover,Iowa,1929,1933
32,Franklin D.,Roosevelt,New York,1933,1945
33,Harry S.,Truman,Missouri,1945,1953
34,Dwight D.,Eisenhower,Texas,1953,1961
35,John F.,Kennedy,Massachusetts,1961,1963
36,Lyndon B.,Johnson,Texas,1963,1969
37,Richard M.,Nixon,California,1969,1974
38,Gerald,Ford,Nebraska,1974,1977
39,Jimmy,Carter,Georgia,1977,1981
40,Ronald,Reagan,Illinois,1981,1989
41,George H. W.,Bush,Massachusetts,1989,1993
42,Bill,Clinton,Arkansas,1993,2001
43,George W.,Bush,Connecticut,2001,2009
44,Barack,Obama,Hawaii,2009,2017
45,Donald J.,Trump,New York,2017,present
